nodes,runtime,partition_gurobi,partition_qaoa,cost_gurobi,cost_qaoa,cut_ratio
4.0,0.1325576305389404,"[{1, 3}, {0, 2}]","({0, 2}, {1, 3})",4.0,4.0,1.0
6.0,0.1890170574188232,"[{0, 4, 5}, {1, 2, 3}]","({1, 2, 3}, {0, 4, 5})",7.0,7.0,1.0
8.0,1.3298072814941406,"[{0, 3, 4, 7}, {1, 2, 5, 6}]","({1, 3, 5, 6}, {0, 2, 4, 7})",10.0,10.0,1.0
10.0,1.0883517265319824,"[{0, 1, 2, 4, 7}, {3, 5, 6, 8, 9}]","({3, 5, 6, 8, 9}, {0, 1, 2, 4, 7})",13.0,13.0,1.0
12.0,17.10466957092285,"[{1, 3, 4, 8, 9, 10}, {0, 2, 5, 6, 7, 11}]","({0, 2, 5, 6, 7, 11}, {1, 3, 4, 8, 9, 10})",16.0,16.0,1.0
14.0,37.341773986816406,"[{0, 1, 5, 8, 9, 12, 13}, {2, 3, 4, 6, 7, 10, 11}]","({0, 3, 5, 8, 9, 12, 13}, {1, 2, 4, 6, 7, 10, 11})",17.0,17.0,1.0
16.0,80.1784040927887,"[{3, 5, 8, 9, 10, 11, 12, 14}, {0, 1, 2, 4, 6, 7, 13, 15}]","({3, 5, 8, 9, 10, 11, 12, 14}, {0, 1, 2, 4, 6, 7, 13, 15})",22.0,22.0,1.0
18.0,353.6529712677002,"[{2, 5, 6, 8, 9, 10, 11, 13}, {0, 1, 3, 4, 7, 12, 14, 15, 16, 17}]","({0, 1, 3, 4, 7, 12, 14, 15, 16, 17}, {2, 5, 6, 8, 9, 10, 11, 13})",24.0,24.0,1.0
20.0,12617.982447385788,,,,,1.0
