nodes,runtime,partition_gurobi,partition_qaoa,cost_gurobi,cost_qaoa,num_layers
4,0.9087069034576416,"[{1, 3}, {0, 2}]",0101,4,4,2
6,0.9754369258880615,"[{0, 4, 5}, {1, 2, 3}]",010110,7,7,2
8,1.197131633758545,"[{0, 3, 4, 7}, {1, 2, 5, 6}]",01010110,10,10,2
10,1.0046918392181396,"[{0, 1, 2, 4, 7}, {3, 5, 6, 8, 9}]",0001011011,13,13,2
12,1.2779881954193115,"[{1, 3, 4, 8, 9, 10}, {0, 2, 5, 6, 7, 11}]",010110001110,16,16,2
14,1.0066964626312256,"[{0, 1, 5, 8, 9, 12, 13}, {2, 3, 4, 6, 7, 10, 11}]",10010100110011,17,17,2
16,1.313084602355957,"[{3, 5, 8, 9, 10, 11, 12, 14}, {0, 1, 2, 4, 6, 7, 13, 15}]",0001010011111010,22,22,2
18,1.4691050052642822,"[{2, 5, 6, 8, 9, 10, 11, 13}, {0, 1, 3, 4, 7, 12, 14, 15, 16, 17}]",001001101111010000,24,24,2
20,1.7929661273956299,"[{0, 2, 5, 6, 7, 8, 12, 13, 14, 15}, {1, 3, 4, 9, 10, 11, 16, 17, 18, 19}]",01011010011101001001,26,26,2
22,2.7306573390960693,"[{2, 3, 4, 8, 9, 10, 15, 16, 17, 19, 20}, {0, 1, 5, 6, 7, 11, 12, 13, 14, 18, 21}]",1011110001000100010111,29,29,2
24,6.011679410934448,"[{0, 1, 4, 6, 8, 10, 11, 13, 14, 18, 21, 23}, {2, 3, 5, 7, 9, 12, 15, 16, 17, 19, 20, 22}]",001101010110100111011000,32,32,2
26,26.286065340042114,"[{2, 3, 4, 6, 8, 9, 11, 12, 13, 15, 18, 20, 22, 25}, {0, 1, 5, 7, 10, 14, 16, 17, 19, 21, 23, 24}]",11000101001000101101010110,36,36,2
